"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT06","WT08","WT09"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-08-01","5.14",,"0.02","0.0","0.0","73","85","64","  310","  310","21.0","29.1","    1",,"    1",,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-08-02","5.82",,"0.05","0.0","0.0","71","76","61","  310","  300","16.1","23.9","    1",,"    1",,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-08-03","5.82",,"0.67","0.0","0.0","63","67","60","   80","   90","12.1","17.0","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-08-04","8.50",,"0.21","0.0","0.0","65","73","57","  210","  330","17.0","27.1","    1",,"    1",,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-08-05","7.83",,"0.00","0.0","0.0","62","70","54","  330","  330","18.1","25.1",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-08-06","4.92",,"0.00","0.0","0.0","62","74","51","  310","  310","12.1","16.1",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-08-07","6.49",,"0.00","0.0","0.0","62","73","54","  300","  290","13.0","17.0",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-08-08","5.59",,"0.00","0.0","0.0","63","74","53","  280","  280","15.0","23.0",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-08-09","3.13",,"0.06","0.0","0.0","64","71","58","  100","   70","6.9","10.1","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-08-10","3.80",,"0.36","0.0","0.0","66","72","61","  230","  120","12.1","15.0","    1",,"    1",,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-08-11","4.47",,"0.98","0.0","0.0","66","72","62","   20","   20","13.0","17.0","    1",,"    1",,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-08-12","7.61",,"0.00","0.0","0.0","67","73","57","  320","  320","16.1","23.0",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-08-13","3.80",,"0.00","0.0","0.0","66","81","52","  200","  200","13.0","18.1",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-08-14","3.80",,"0.00","0.0","0.0","67","77","58","  140","  150","13.0","17.0",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-08-15","6.49",,"0.00","0.0","0.0","67","74","59","  290","  300","13.0","18.1",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-08-16","5.82",,"0.00","0.0","0.0","64","75","54","  140","  150","13.0","16.1",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-08-17","8.72",,"2.83","0.0","0.0","65","67","62","  120","  120","16.1","30.0","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-08-18","8.50",,"0.65","0.0","0.0","65","67","60","  280","  280","18.1","29.1","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-08-19","5.59",,"0.00","0.0","0.0","65","76","60","  260","  270","12.1","17.0","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-08-20","5.82",,"0.00","0.0","0.0","67","81","55","  210","  220","19.9","27.1","    1","    1",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-08-21","4.47",,"0.24","0.0","0.0","72","82","62","  160","  160","14.1","23.0","    1",,"    1",,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-08-22","12.30",,"0.00","0.0","0.0","67","70","59","  300","  320","25.1","40.0","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-08-23","10.96",,"0.00","0.0","0.0","59","60","55","  300","  310","21.0","29.1",,,,,,
